term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0000087,"mitotic M phase",0.004%,-2.770,-1.927,2.672,-22.0000,0.962,0.000,87,0
GO:0000279,"M phase",0.004%,null,null,2.672,-22.0000,0.942,1.136,87,1
GO:0022403,"cell cycle phase",0.001%,null,null,2.072,-22.0000,0.948,0.936,87,1
GO:0002252,"immune effector process",0.185%,-5.866,-2.758,4.375,-5.0000,0.864,0.000,2252,0
GO:0002460,"adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",0.044%,null,null,3.751,-5.0000,0.796,0.725,2252,1
GO:0002449,"lymphocyte mediated immunity",0.041%,null,null,3.724,-5.0000,0.856,0.822,2252,1
GO:0002443,"leukocyte mediated immunity",0.056%,null,null,3.856,-5.0000,0.861,0.738,2252,1
GO:0016064,"immunoglobulin mediated immune response",0.022%,null,null,3.447,-5.0000,0.793,0.933,2252,1
GO:0002250,"adaptive immune response",0.053%,null,null,3.834,-5.0000,0.804,0.743,2252,1
GO:0019724,"B cell mediated immunity",0.022%,null,null,3.451,-5.0000,0.794,0.933,2252,1
GO:0009141,"nucleoside triphosphate metabolic process",1.605%, 1.951, 6.174,5.314,-300.0000,0.689,0.000,9141,0
GO:0009635,"response to herbicide",0.003%,-5.226, 1.863,2.567,-31.0000,0.892,0.000,9635,0
GO:0032505,"reproduction of a single-celled organism",0.181%,-5.264,-4.682,4.366,-14.0000,0.955,0.000,32505,0
GO:0019954,"asexual reproduction",0.167%,null,null,4.332,-14.0000,0.955,0.760,32505,1
GO:0043093,"FtsZ-dependent cytokinesis",0.131%,null,null,4.225,-14.0000,0.794,0.746,32505,1
GO:0034220,"ion transmembrane transport",3.528%, 3.192,-5.008,5.656,-300.0000,0.912,0.000,34220,0
GO:0015992,"proton transport",1.148%,null,null,5.168,-300.0000,0.843,0.710,34220,1
GO:0009206,"purine ribonucleoside triphosphate biosynthetic process",0.485%,null,null,4.794,-300.0000,0.626,0.984,34220,1
GO:0009145,"purine nucleoside triphosphate biosynthetic process",0.485%,null,null,4.794,-300.0000,0.631,0.924,34220,1
GO:0006754,"ATP biosynthetic process",0.432%,null,null,4.743,-300.0000,0.625,0.970,34220,1
GO:0015985,"energy coupled proton transport, down electrochemical gradient",0.411%,null,null,4.722,-300.0000,0.854,0.887,34220,1
GO:0015986,"ATP synthesis coupled proton transport",0.411%,null,null,4.722,-300.0000,0.575,0.887,34220,1
GO:0009201,"ribonucleoside triphosphate biosynthetic process",0.577%,null,null,4.869,-300.0000,0.626,0.954,34220,1
GO:0042777,"plasma membrane ATP synthesis coupled proton transport",0.083%,null,null,4.027,-270.0000,0.619,0.764,34220,1
GO:0042273,"ribosomal large subunit biogenesis",0.151%,-1.760,-6.276,4.287,-297.0000,0.887,0.000,42273,0
